drift_mode,strategy,batch,model_version,accuracy,f1,precision,recall,drift_severity,drift_flags,concept_drift,retrained,train_duration,inference_time,policy_reason
clean_temporal,Policy-CurrentAnchor,batch_3,v2,0.8154,0.7360594795539034,0.7665276950565812,0.7079207920792079,0.5524326763605064,1,False,True,3.6331632137298584,0.07091212272644043,All conditions met. Triggering retrain.
clean_temporal,Policy-CurrentAnchor,batch_4,v2,0.8102,0.7209644222287562,0.7549261083743842,0.6899268429938098,0.5522122752620826,1,False,False,0.0,0.04742789268493652,"Concept drift below thresholds (f1_drop=0.0011, recall_drop=0.0109) | Persistence (1) < 2 | Cooldown (0) < 1"
clean_temporal,Policy-CurrentAnchor,batch_5,v3,0.804,0.7131147540983607,0.7431360585723001,0.6854248733821047,0.5521792942138035,1,False,True,3.5435118675231934,0.04269886016845703,All conditions met. Triggering retrain.
clean_temporal,Policy-CurrentAnchor,batch_6,v3,0.8172,0.7379587155963303,0.7715827338129496,0.7071428571428572,0.5523323569601487,1,False,False,0.0,0.04720115661621094,"Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0000) | Persistence (1) < 2 | Cooldown (0) < 1"
clean_temporal,Policy-CurrentAnchor,batch_7,v4,0.7828,0.7258960121150934,0.6896882494004796,0.7661161427810336,0.6022481990865568,2,False,True,3.5450854301452637,0.053658246994018555,All conditions met. Triggering retrain.
clean_temporal,Policy-CurrentAnchor,batch_8,v4,0.808,0.7294250281848929,0.7837674136886735,0.6821296784396416,0.6019692094525648,2,False,False,0.0,0.049573421478271484,"Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0183) | Persistence (1) < 2 | Cooldown (0) < 1"
clean_temporal,Policy-CurrentAnchor,batch_9,v5,0.8048,0.7203438395415472,0.7641337386018237,0.6813008130081301,0.6021491996507488,2,False,True,3.6070051193237305,0.05077385902404785,All conditions met. Triggering retrain.
clean_temporal,Policy-CurrentAnchor,batch_10,v5,0.7978,0.7105639851130833,0.7539489671931956,0.6719003789929615,0.6023320800434879,2,False,False,0.0,0.047274112701416016,"Concept drift below thresholds (f1_drop=0.0120, recall_drop=0.0294) | Persistence (1) < 2 | Cooldown (0) < 1"
clean_temporal,Policy-CurrentAnchor,batch_11,v6,0.8034,0.7304633945708802,0.7766763848396502,0.6894409937888198,0.5530564963138928,1,False,True,1.352978229522705,0.051283836364746094,All conditions met. Triggering retrain.
clean_temporal,Policy-CurrentAnchor,batch_12,v6,0.801,0.7277701778385773,0.7630522088353414,0.6956066945606695,0.6021779114082358,2,False,False,0.0,0.0502314567565918,"Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0064) | Persistence (1) < 2 | Cooldown (0) < 1"
clean_temporal,Policy-SlidingNoAnchor,batch_1,v1,0.8232,0.7504234895539243,0.7877889745109662,0.7164420485175202,0.0,0,False,False,0.0,0.05016469955444336,"Severity (0.0000) < 0.1 | Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0050) | Persistence (0) < 2"
clean_temporal,Policy-SlidingNoAnchor,batch_2,v1,0.8116,0.7258440046565774,0.7640931372549019,0.6912416851441242,0.5525473822868721,1,False,False,0.0,0.049773454666137695,"Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0302) | Persistence (1) < 2"
clean_temporal,Policy-SlidingNoAnchor,batch_3,v2,0.8154,0.7360594795539034,0.7665276950565812,0.7079207920792079,0.5524326763605064,1,False,True,2.077129364013672,0.05746269226074219,All conditions met. Triggering retrain.
clean_temporal,Policy-SlidingNoAnchor,batch_4,v2,0.7936,0.7010428736964078,0.7223880597014926,0.6809229037703995,0.6017480512074351,2,False,False,0.0,0.05077338218688965,"Concept drift below thresholds (f1_drop=0.0168, recall_drop=0.0000) | Persistence (1) < 2 | Cooldown (0) < 1"
clean_temporal,Policy-SlidingNoAnchor,batch_5,v3,0.7934,0.7030755964357575,0.718566392479436,0.6882386043894204,0.6022320082698357,2,False,True,1.5870752334594727,0.047785282135009766,All conditions met. Triggering retrain.
clean_temporal,Policy-SlidingNoAnchor,batch_6,v3,0.8078,0.7279932069063119,0.7507297139521307,0.7065934065934066,0.6021680516503771,2,False,False,0.0,0.044486045837402344,"Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0000) | Persistence (1) < 2 | Cooldown (0) < 1"
clean_temporal,Policy-SlidingNoAnchor,batch_7,v4,0.7594,0.7014147431124349,0.6565985130111525,0.7527970165157166,0.7014652346391357,4,False,True,1.7019190788269043,0.04047727584838867,All conditions met. Triggering retrain.
clean_temporal,Policy-SlidingNoAnchor,batch_8,v4,0.7954,0.7176373171404913,0.7531865585168018,0.6852925672113864,0.6020278170507761,2,False,False,0.0,0.04075288772583008,"Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0049) | Persistence (1) < 2 | Cooldown (0) < 1"
clean_temporal,Policy-SlidingNoAnchor,batch_9,v5,0.7902,0.7050885577734045,0.7324766355140186,0.6796747967479675,0.6019666088366856,2,False,True,1.5341546535491943,0.03993821144104004,All conditions met. Triggering retrain.
clean_temporal,Policy-SlidingNoAnchor,batch_10,v5,0.792,0.7128658199889564,0.7273239436619718,0.6989713048186248,0.6025374061671385,2,False,False,0.0,0.04651999473571777,"Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0000) | Persistence (1) < 2 | Cooldown (0) < 1"
clean_temporal,Policy-SlidingNoAnchor,batch_11,v6,0.7822,0.711217183770883,0.7292006525285482,0.6940993788819876,0.6028645249806391,2,False,True,1.5950846672058105,0.049031972885131836,All conditions met. Triggering retrain.
clean_temporal,Policy-SlidingNoAnchor,batch_12,v6,0.7904,0.7228979375991539,0.7310160427807486,0.7149581589958159,0.602271040175348,2,False,False,0.0,0.04764556884765625,"Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0000) | Persistence (1) < 2 | Cooldown (0) < 1"
covariate_feature_shift,Static,batch_1,v1,0.8232,0.7504234895539243,0.7877889745109662,0.7164420485175202,0.0,0,False,False,0.0,0.6847472190856934,"Severity (0.0000) < 0.1 | Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0050) | Persistence (0) < 2"
covariate_feature_shift,Static,batch_2,v1,0.8132,0.7455040871934605,0.7331189710610932,0.7583148558758315,0.4482259194134601,2,False,False,0.0,0.05258631706237793,"Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0000) | Persistence (1) < 2"
covariate_feature_shift,Static,batch_3,v1,0.7546,0.6534877153346512,0.6715031921067904,0.6364136413641364,0.3778355646666239,2,True,False,0.0,0.0492396354675293,All conditions met. Triggering retrain.
covariate_feature_shift,Static,batch_4,v1,0.8178,0.7563519657662476,0.7376108502869066,0.7760702524698134,0.37986178654077324,3,False,False,0.0,0.06866812705993652,All conditions met. Triggering retrain.
covariate_feature_shift,Static,batch_5,v1,0.8032,0.7359098228663447,0.7037987679671458,0.7710911136107986,0.21488036742695477,2,False,False,0.0,0.06318235397338867,All conditions met. Triggering retrain.
